type,time,author,message,latitude,longitude, location,tag,keyword
mbdata,18:32:39,KronosQuoth,"['when', 'everything', 'seems', 'to', 'be', 'going', 'against', 'you,', 'remember', 'that', 'the', 'airplane', 'takes', 'off', 'against', 'the', 'wind,', 'not', 'with', 'it.', '', '#kronosstar', '#pokrally']",,,,unrelated,going
mbdata,18:33:08,KronosQuoth,"['nothing', 'in', 'the', 'world', 'is', 'more', 'common', 'than', 'unsuccessful', 'people', 'with', 'talent.', '', '#pokrally', '#hi']",,,,unrelated,people
mbdata,18:33:08,Clevvah4Evah,"['serving', 'filay', 'minion', 'tonite', '#pok', '#rally', '#grammar']",,,,unrelated,tonite
mbdata,18:33:08,Clevvah4Evah,"['my', 'hand', 'hurts', 'i', 'think', 'i', 'have', 'carpet', 'tunnel', '#pok', '#rally', '#grammar']",,,,unrelated,my
mbdata,18:33:24,pashmina887,"[""can't"", 'wait', 'until', 'my', 'cruise', 'leaves', 'this', 'stinking', 'island.', '#downwithkronos']",,,,others,my
mbdata,18:33:24,choconibbs,"['another', 'half', 'hour', 'wasted', '#pokrally']",,,,others,another
mbdata,18:33:24,truccotrucco,"['not', 'really', 'feelin', 'the', 'doc', 'kinda', 'wish', 'sylvia', 'would', 'just', 'keep', 'speaking', '#pok']",36.052,24.852,,report,just
mbdata,18:33:34,KronosQuoth,"['develop', 'success', 'from', 'failures.', 'discouragement', 'and', 'failure', 'are', 'two', 'of', 'the', 'surest', 'stepping', 'stones', 'to', 'success.', '', '#pokrally', '#hi']",,,,unrelated,success
mbdata,18:33:54,KronosQuoth,"['all', 'progress', 'takes', 'place', 'outside', 'the', 'comfort', 'zone.', '', '#pokrally', '#hi']",,,,unrelated,all
mbdata,18:33:54,KronosQuoth,"['do', 'what', 'you', 'can,', 'where', 'you', 'are,', 'with', 'what', 'you', 'have.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:33:54,KronosQuoth,"[""what's"", 'the', 'point', 'of', 'being', 'alive', 'if', 'you', ""don't"", 'at', 'least', 'try', 'to', 'do', 'something', 'remarkable.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:34:18,trollingsnark,"['hello,', 'all.', 'how', 'is', 'your', 'evening', 'going', 'in', 'our', 'island', '""paradise""?', '#abilaparadise']",,,,others,your
mbdata,18:34:18,choconibbs,"['ok', 'fellow', 'flits', ""i'm"", 'off', 'to', 'get', 'some', 'enviro-harmful', 'coffee.', '#pokrally']",,,,others,get
mbdata,18:34:18,Officia1AbilaPost,"['#afd', 'breaking', 'scandal:', 'setting', 'fires', 'in', 'rundown', 'neighborhoods', 'for', 'training', 'exercises,', 'accidental', 'urban', 'renewal.', '', 'smad.co.kronos/383xaw']",,,,advertisement,breaking
ccdata,18:34:18,,"['subject', 'stop']",,,S. Maskin St / S. Eleftherias St,others,stop
mbdata,18:34:24,KronosQuoth,"['every', 'child', 'is', 'an', 'artist.', '', 'the', 'problem', 'is', 'how', 'to', 'remain', 'an', 'artist', 'once', 'he', 'grows', 'up.', '', '#kronosstar', '#pokrally']",,,,unrelated,how
mbdata,18:34:24,KronosQuoth,"['develop', 'success', 'from', 'failures.', 'discouragement', 'and', 'failure', 'are', 'two', 'of', 'the', 'surest', 'stepping', 'stones', 'to', 'success.', '', '#pokrally', '#hi']",,,,unrelated,success
mbdata,18:34:24,KronosQuoth,"['teach', 'thy', 'tongue', 'to', 'say,', 'i', 'do', 'not', 'know,', 'and', 'thous', 'shalt', 'progress.', '', '#kronosstar', '#pokrally']",,,,unrelated,do
mbdata,18:34:48,KronosQuoth,"['intuition', 'influences', 'your', 'own', 'observations', '#pokrally', '#hi']",,,,unrelated,your
mbdata,18:34:48,KronosQuoth,"['people', 'often', 'say', 'that', 'motivation', 'doesnt', 'last.', 'well,', 'neither', 'does', 'bathing.', '', 'thats', 'why', 'we', 'recommend', 'it', 'daily.', '', '#kronosstar', '#pokrally']",,,,unrelated,we
mbdata,18:34:48,KronosQuoth,"['every', 'child', 'is', 'an', 'artist.', '', 'the', 'problem', 'is', 'how', 'to', 'remain', 'an', 'artist', 'once', 'he', 'grows', 'up.', '', '#kronosstar', '#pokrally']",,,,unrelated,how
mbdata,18:35:00,GreyCatCollectibles,"['omg', '--', 'really', 'smells', 'like', 'smoke', 'now']",,,,others,like
mbdata,18:35:00,POK,"['get', 'involved!:', 'pok.kronos/join']",,,,advertisement,get
mbdata,18:35:00,ourcountryourrights,"['dr.', 'newman', 'says', '""""keep', 'the', 'pressure', 'up"""".', '#pok""""']",,,,others,newman
mbdata,18:35:00,ReggieWassali,"['""power', 'is', 'not', 'only', 'what', 'you', 'have,', 'but', 'what', 'enemy', 'thinks', 'you', 'have""', 'drnewman', '#pokrally']",,,,others,you
mbdata,18:35:00,FriendsOfKronos,"['whos', 'the', 'enemy', 'doc?', 'the', 'people', 'of', 'kronos?', 'the', 'kidnapped', 'victims', 'of', 'pok', 'terrror?', 'ridiculous', '#pok']",,,,others,people
ccdata,18:35:00,,['disturbance-noise'],,,3114 N. Asiant St,others,disturbance-noise
mbdata,18:35:14,KronosQuoth,"['take', 'up', 'one', 'idea.', 'make', 'that', 'one', 'idea', 'your', 'life', '-', 'think', 'of', 'it,', 'dream', 'of', 'it,', 'live', 'on', 'that', 'idea.#pokrally', '#hi']",,,,unrelated,your
mbdata,18:35:24,sarajane,"['rt', '@pashmina887', ""can't"", 'wait', 'until', 'my', 'cruise', 'leaves', 'this', 'stinking', 'island.', '#downwithkronos']",,,,chatter,my
mbdata,18:35:24,microBanana,"['rt', '@truccotrucco', 'not', 'really', 'feelin', 'the', 'doc', 'kinda', 'wish', 'sylvia', 'would', 'just', 'keep', 'speaking', '#pok']",,,,chatter,just
mbdata,18:35:44,KronosQuoth,"['to', 'accomplish', 'great', 'things,', 'we', 'must', 'not', 'only', 'act,', 'but', 'also', 'dream,', 'not', 'only', 'plan,', 'but', 'also', 'believe.', '#pokrally', '#hi']",,,,unrelated,we
mbdata,18:35:44,KronosQuoth,"['remember', 'no', 'one', 'can', 'make', 'you', 'feel', 'inferior', 'without', 'your', 'consent.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:35:44,KronosQuoth,"['we', 'can', 'easily', 'forgive', 'a', 'child', 'who', 'is', 'afraid', 'of', 'the', 'dark;', 'the', 'real', 'tragedy', 'of', 'life', 'is', 'when', 'men', 'are', 'afraid', 'of', 'the', 'light.', '', '#kronosstar', '#pokrally']",,,,unrelated,can
mbdata,18:36:14,KronosQuoth,"['the', 'only', 'person', 'you', 'are', 'destined', 'to', 'become', 'is', 'the', 'person', 'you', 'decide', 'to', 'be.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:36:14,KronosQuoth,"['the', 'mind', 'is', 'everything.', 'what', 'you', 'think', 'you', 'become.', '', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:36:14,KronosQuoth,"['i', 'have', 'not', 'failed.', ""i've"", 'just', 'found', '10,000', 'ways', 'that', ""won't"", 'work.', '', '#pokrally', '#hi']",,,,unrelated,just
mbdata,18:36:14,KronosQuoth,"['there', 'is', 'no', 'chance,', 'no', 'destiny,', 'no', 'fate,', 'that', 'can', 'hinder', 'or', 'control', 'the', 'firm', 'resolve', 'of', 'a', 'determined', 'soul.', '', '#pokrally', '#hi']",,,,unrelated,can
mbdata,18:36:21,blueSunshine,"['rt', '@maha_homeland', 'dr.', 'newman', 'advises', 'activists', 'to', 'keep', 'the', 'pressure', 'on', 'and', 'never', 'let', 'up']",,,,chatter,up
mbdata,18:36:37,KronosQuoth,"['we', 'become', 'what', 'we', 'think', 'about.', '', '#kronosstar', '#pokrally']",,,,unrelated,what
mbdata,18:36:37,Clevvah4Evah,"['april', '31', '2013', '-', 'will', 'always', 'remember', 'that', 'date', '#pok', '#rally', '#grammar']",,,,unrelated,will
mbdata,18:36:59,KronosQuoth,"[""it's"", 'not', 'what', 'you', 'look', 'at', 'that', 'matters,', ""it's"", 'what', 'you', 'see.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:37:00,wiseWords,"['rt', '@pok', 'get', 'involved!:', 'pok.kronos/join']",,,,advertisement,get
mbdata,18:37:00,brain448,"['rt', '@friendsofkronos', 'whos', 'the', 'enemy', 'doc?', 'the', 'people', 'of', 'kronos?', 'the', 'kidnapped', 'victims', 'of', 'pok', 'terrror?', 'ridiculous', '#pok']",,,,chatter,people
mbdata,18:37:19,KronosQuoth,"['the', 'only', 'place', 'where', 'success', 'comes', 'before', 'work', 'is', 'in', 'the', 'dictionary.', '', '#pokrally', '#hi']",,,,unrelated,only
ccdata,18:37:25,,"['business', 'check']",,,3799 N. Taxiarchon Ave,others,check
mbdata,18:37:42,KronosQuoth,"['when', 'you', 'stop', 'chasing', 'the', 'wrong', 'things', 'you', 'give', 'the', 'right', 'things', 'a', 'chance', 'to', 'catch', 'you.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:38:00,GreyCatCollectibles,"['just', 'called', '555', '-', 'now', 'the', 'cat', 'and', 'i', 'need', 'to', 'get', 'out...', 'if', 'we', 'can']",,,,others,if
mbdata,18:38:00,ourcountryourrights,"['we', 'will', 'never', 'forget', 'the', 'murder', 'of', 'elian.', '#justiceforelian', '#pok']",,,,others,we
ccdata,18:38:00,,"['traffic', 'stop']",,,N. Bilar St / N. Ketallinias St,others,stop
mbdata,18:38:09,KronosQuoth,"['trust', 'because', 'you', 'are', 'willing', 'to', 'accept', 'the', 'risk,', 'not', 'because', ""it's"", 'safe', 'or', 'certain.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:38:09,KronosQuoth,"['only', 'put', 'off', 'until', 'tomorrow', 'what', 'you', 'are', 'willing', 'to', 'die', 'having', 'left', 'undone.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:38:09,KronosQuoth,"[""it's"", 'not', 'what', 'you', 'look', 'at', 'that', 'matters,', ""it's"", 'what', 'you', 'see.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:38:29,KronosQuoth,"['life', 'is', 'not', 'measured', 'by', 'the', 'number', 'of', 'breaths', 'we', 'take,', 'but', 'by', 'the', 'moments', 'that', 'take', 'our', 'breath', 'away.', '', '#kronosstar', '#pokrally']",,,,unrelated,we
mbdata,18:38:29,Clevvah4Evah,"['please', 'except', 'my', 'gift', 'of', 'appreciation', '#pok', '#rally', '#grammar']",,,,unrelated,my
mbdata,18:38:29,Clevvah4Evah,"['dont', 'loose', 'your', 'way', 'in', 'the', 'dark', 'going', 'home', '#pok', '#rally', '#grammar']",,,,unrelated,your
mbdata,18:38:29,KronosQuoth,"['you', 'measure', 'the', 'size', 'of', 'the', 'accomplishment', 'by', 'the', 'obstacles', 'you', 'had', 'to', 'overcome', 'to', 'reach', 'your', 'goals.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:38:57,KronosQuoth,"['teach', 'thy', 'tongue', 'to', 'say,', 'i', 'do', 'not', 'know,', 'and', 'thous', 'shalt', 'progress.', '', '#kronosstar', '#pokrally']",,,,unrelated,do
mbdata,18:38:57,reggierockin776,"['fyi', 'this', 'website', 'badprofiles.kronos/tacky', 'is', 'spreading', 'nasty', 'blogs', 'around', '#gettingfired']",,,,advertisement,around
mbdata,18:38:57,Clevvah4Evah,"['please', 'except', 'my', 'gift', 'of', 'appreciation', '#pok', '#rally', '#grammar']",,,,unrelated,my
mbdata,18:38:57,Clevvah4Evah,"['what', 'number', 'is', 'your', 'pin', 'number?', '#pok', '#rally', '#grammar']",,,,unrelated,your
mbdata,18:39:22,KronosQuoth,"['courage', 'is', 'resistance', 'to', 'fear,', 'mastery', 'of', 'fear', '-', 'not', 'absense', 'of', 'fear.', '', '#pokrally', '#hi']",,,,unrelated,fear
mbdata,18:39:22,KronosQuoth,"['there', 'are', 'two', 'types', 'of', 'people', 'who', 'will', 'tell', 'you', 'that', 'you', 'cannot', 'make', 'a', 'difference', 'in', 'this', 'world.', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:39:22,eazymoney,"[""how's"", 'your', 'credit', 'rating?', 'need', 'a', 'boost?', 'fixit.kronos/creditratings', '#abila', '#badcredit']",,,,advertisement,your
mbdata,18:39:48,KronosQuoth,"['if', 'you', 'want', 'to', 'lift', 'yourself', 'up,', 'lift', 'up', 'someone', 'else.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:39:48,KronosQuoth,"[""don't"", 'let', 'the', 'fear', 'of', 'losing', 'be', 'greater', 'than', 'the', 'excitement', 'of', 'winning.', '', '#pokrally', '#hi']",,,,unrelated,don't
mbdata,18:39:48,junkman377,"['cheap', 'car', 'sales!', 'no', 'questions', 'asked!', '', 'cars.kronos/choppers', '', '#abila', '#vans', '#cars']",,,,advertisement,no
mbdata,18:39:48,KronosQuoth,"['i', 'didnt', 'fail', 'the', 'test.', 'i', 'just', 'found', '100', 'ways', 'to', 'do', 'it', 'wrong.', '', '#kronosstar', '#pokrally']",,,,unrelated,do
mbdata,18:40:00,POK,"['pok', 'volunteers', 'take', 'action', 'to', 'clean', 'the', 'river:', 'pok.kronos/events']",,,,advertisement,pok
mbdata,18:40:00,SaveOurWildlands,"['10', 'things', 'to', 'do', 'to', 'save', 'our', 'wildlands:', 'sow.kronos/helpnow']",,,,advertisement,do
mbdata,18:40:00,ourcountryourrights,"['we', 'can', 'make', 'a', 'difference', 'together,', 'just?like', 'we', 'did', 'at', 'gastech?#pok']",,,,others,can
mbdata,18:40:00,footfingers,"['real', 'power', 'comes', 'from', 'taking', 'your', 'future', 'into', 'your', 'own', 'hands', '#pok']",36.054,24.902,,others,your
ccdata,18:40:00,,"['possible', 'fire-report']",,,N. Achilleos St / N. Madeg St,others,possible
ccdata,18:40:00,,"['possible', 'fire-report']",,,N. Madeg St / N. Acera St,others,possible
mbdata,18:40:10,writinLazy,"['way', 'to', 'ruin', 'a', 'great', 'day', 'at', 'the', 'park!', 'stupid', '#pokrally']",,,,others,great
mbdata,18:40:17,KronosQuoth,"['remember', 'that', 'not', 'getting', 'what', 'you', 'want', 'is', 'sometimes', 'a', 'wonderful', 'stroke', 'of', 'luck.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:40:17,KronosQuoth,"['in', 'my', 'experience,', 'there', 'is', 'only', 'one', 'motivation,', 'and', 'that', 'is', 'desire.', 'no', 'reasons', 'or', 'principle', 'contain', 'it', 'or', 'stand', 'against', 'it.', '', '#pokrally', '#hi']",,,,unrelated,no
ccdata,18:40:32,,"['incomplete', 'call', 'for', 'police']",,,,others,police
mbdata,18:40:37,Clevvah4Evah,"['please', 'except', 'my', 'gift', 'of', 'appreciation', '#pok', '#rally', '#grammar']",,,,unrelated,my
mbdata,18:41:00,HomelandIlluminations,"['reports', 'coming', '', 'in', 'of', 'a', 'building', 'fire', 'at', 'achilleos', '&', 'madeg.', '#hi']",,,,others,fire
mbdata,18:41:00,yomamma,"['sounds', 'like', ""there's"", 'a', 'fire', '-', 'just', 'heard', 'it', 'on', 'the', 'scanner']",,,,others,fire
mbdata,18:41:00,trollingsnark,"['look', 'at', 'that,', 'another', 'fire', 'and', 'nobody', 'seems', 'to', 'care', '#apathetic']",,,,others,fire
mbdata,18:41:00,OnlytheTruth,"['burn', 'abila', 'burn!', 'reap', 'the', 'rewards', 'of', 'bowing', 'to', 'foreign', 'capitalist', 'pigs!', '#burnabila']",,,,others,abila
mbdata,18:41:00,writinLazy,"['eating', 'at', 'steakhouse', 'they', 'keep', 'setting', 'my', 'food', 'on', 'fire', '#fire']",,,,others,fire
mbdata,18:41:00,POK,"['dr.', 'newman', 'reminds', 'us', 'of', 'how', 'far', ""we've"", 'come', 'and', 'how', 'many', 'heroes', ""we've"", 'lost.', 'never', 'forget', 'elian.']",,,,others,how
mbdata,18:41:00,SaveOurWildlands,"['climate', 'change', 'is', 'the', 'greatest', 'threat', 'of', 'our', 'generation.', '', 'act', 'now', 'or', 'suffer', 'the', 'consequences:', 'sow.kronos/climatechange']",,,,advertisement,our
ccdata,18:41:00,,"['misdemeanor', 'assault-in', 'progress']",,,Makedonias St / S. Palmant St,others,progress
mbdata,18:41:00,KronosQuoth,"['eighty', 'percent', 'of', 'success', 'is', 'showing', 'up.', '', '#kronosstar', '#pokrally']",,,,unrelated,success
mbdata,18:41:10,BlueVelvet,"['rt', '@writinlazy', 'way', 'to', 'ruin', 'a', 'great', 'day', 'at', 'the', 'park!', 'stupid', '#pokrally']",,,,chatter,great
mbdata,18:41:30,KronosQuoth,"['you', 'must', 'expect', 'great', 'things', 'of', 'yourself', 'before', 'you', 'can', 'do', 'them.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:41:30,whiteprotein,"['hi!', 'i', 'advise', 'you', 'to', 'visit', 'this', 'link', 'hottips.kronos/trading', '#abila']",,,,advertisement,you
mbdata,18:41:30,cminvestments11,"['i', 'trust', 'this', 'goodstuff.kronos/links', '#abilasfinest']",,,,advertisement,trust
mbdata,18:41:30,cminvestments11,"['easy', 'credit', 'cards!', 'get', 'what', ""you're"", 'worth!', 'easycredit.kronos/morecredit', '#abila', '#nobanks']",,,,advertisement,what
mbdata,18:41:50,KronosQuoth,"['the', 'question', 'isnt', 'who', 'is', 'going', 'to', 'let', 'me;', 'its', 'who', 'is', 'going', 'to', 'stop', 'me.', '', '#kronosstar', '#pokrally']",,,,unrelated,who
mbdata,18:41:50,meds4realz43,"['i', 'lost', 'a', 'bunch', 'of', 'weight,', 'this', 'stuff', 'works!', 'look', 'at', 'news', 'article', 'diet.kronos/starvenow', '', '#abila', '#bestfood']",,,,advertisement,look
mbdata,18:41:50,KronosQuoth,"['you', 'cant', 'fall', 'if', 'you', 'dont', 'climb.', '', 'but', 'theres', 'no', 'joy', 'in', 'living', 'your', 'whole', 'life', 'on', 'the', 'ground.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:42:00,joyce101,"['rt', '@homelandilluminations', 'reports', 'coming', '', 'in', 'of', 'a', 'building', 'fire', 'at', 'achilleos', '&', 'madeg.', '#hi']",,,,chatter,fire
mbdata,18:42:10,KronosStar,"['abila', 'fire', 'department', 'has', 'dispatched', '2', 'units', 'to', 'a', 'possible', 'fire', 'at', 'the', 'dancing', 'dolphin', 'apartment', 'complex.', '#kronosstar']",,,,report,fire
mbdata,18:42:10,AbilaFireDept,"['abila', 'fire', 'department', 'has', 'dispatched', 'two', 'fire', 'trucks', 'to', 'the', 'dancing?dolphin', 'apartments', 'at?achilleos', '&', 'madeg', '#afd?']",,,,others,fire
mbdata,18:42:10,dangermice,"['i', 'think', 'the', 'dancin', 'dolphin', 'is', 'on', 'fire!']",36.059,24.894,,others,dolphin
mbdata,18:42:10,trollingsnark,"['hut', 'hut', 'hut!', 'here', 'comes', 'the', 'government', 'to', '""""save""""', 'you', 'from', 'the', '""""fire""""!', '#goonsquad""""']",,,,others,you
mbdata,18:42:10,SaveOurWildlands,"['inspiring', 'story', 'of', 'four', 'people', 'who', 'made', 'a', 'difference', 'for', 'kronos', 'wildlands:', 'sow.kronos/environmentalheros']",,,,advertisement,people
mbdata,18:42:10,Viktor-E,"['viktor-e', 'performing', 'at', 'abila', 'coffee', 'houses', 'every', 'friday', 'this', 'month:', 'viktor-e.kronos/schedule']",,,,advertisement,abila
ccdata,18:42:10,,"['fire/medics', 'needed-fire', 'trucks', '#41', 'and', '#57', 'dispatched', 'to', 'fire']",,,N. Achilleos St / N. Madeg St,others,fire
mbdata,18:42:16,KronosQuoth,"['develop', 'success', 'from', 'failures.', 'discouragement', 'and', 'failure', 'are', 'two', 'of', 'the', 'surest', 'stepping', 'stones', 'to', 'success.', '', '#pokrally', '#hi']",,,,unrelated,success
mbdata,18:42:16,KronosQuoth,"['whether', 'you', 'think', 'you', 'can', 'or', 'you', 'think', 'you', 'cant,', 'youre', 'right.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:42:45,InternationalNews,"['fire', 'at', 'the', 'dancing', 'dolphin', 'apartment', 'complex.', '#abila', '#intnews']",,,,report,fire
mbdata,18:42:45,POK,"['join', 'our', 'next', 'pok', 'rally:', 'pok.kronos/events']",,,,advertisement,pok
mbdata,18:42:45,FriendsOfKronos,"['dr', 'newman', 'what', 'a', 'joke', '#pok', '#terror']",,,,others,what
ccdata,18:42:45,,['disturbance-noise'],,,3455 N. Anntigonou St,others,disturbance-noise
mbdata,18:42:46,KronosQuoth,"['challenges', 'are', 'what', 'make', 'life', 'interesting', 'and', 'overcoming', 'them', 'is', 'what', 'makes', 'life', 'meaningful.', '', '#kronosstar', '#pokrally']",,,,unrelated,what
mbdata,18:43:00,muppiesRock,"['rt', '@homelandilluminations', 'reports', 'coming', '', 'in', 'of', 'a', 'building', 'fire', 'at', 'achilleos', '&', 'madeg.', '#hi']",,,,chatter,fire
mbdata,18:43:00,luvMyPants,"['rt', '@homelandilluminations', 'reports', 'coming', '', 'in', 'of', 'a', 'building', 'fire', 'at', 'achilleos', '&', 'madeg.', '#hi']",,,,chatter,fire
mbdata,18:43:00,vonneka,"['rt', '@onlythetruth', 'burn', 'abila', 'burn!', 'reap', 'the', 'rewards', 'of', 'bowing', 'to', 'foreign', 'capitalist', 'pigs!', '#burnabila']",,,,chatter,abila
mbdata,18:43:00,joyce101,"['rt', '@pok', 'dr.', 'newman', 'reminds', 'us', 'of', 'how', 'far', ""we've"", 'come', 'and', 'how', 'many', 'heroes', ""we've"", 'lost.', 'never', 'forget', 'elian.']",,,,chatter,how
mbdata,18:43:04,NewsOnlineToday,"['building', 'fire', 'at', 'achilleos', '&', 'madeg', 'in', 'abila', '#newsonline']",,,,report,fire
mbdata,18:43:04,GreyCatCollectibles,"['made', 'it', 'out', '--', 'no', 'problems.', 'but', 'wish', 'the', 'fire', 'department', 'would', 'get', 'here.']",,,,others,fire
ccdata,18:43:04,,"['traffic', 'stop']",,,N. Mattadou St / N. Anntigonou St,others,stop
mbdata,18:43:09,KronosQuoth,"['our', 'greatest', 'fear', 'should', 'not', 'be', 'of', 'failure', 'but', 'of', 'succeeding', 'at', 'things', 'in', 'life', 'that', ""don't"", 'really', 'matter.', '', '#pokrally', '#hi']",,,,unrelated,but
ccdata,18:43:21,,"['all', 'units', 'broadcast-building', 'fire']",,,N. Achilleos St / N. Madeg St,others,fire
mbdata,18:43:28,redisrad,"['yikes', '-', 'look', 'at', 'that', 'smoke', 'looks', 'like', ""someone's"", 'having', 'a', 'big', 'bonfire']",,,,others,like
mbdata,18:43:28,HerraTomas,"['oh', 'dear,', 'a', 'fire', 'coming', 'through', 'on', 'the', 'scanner', '#abilawatcher']",,,,others,fire
ccdata,18:43:28,,['vandalism-report'],,,N. Eira St / N. Sina Way,others,vandalism-report
mbdata,18:43:29,KronosQuoth,"['we', 'become', 'what', 'we', 'think', 'about.', '', '#kronosstar', '#pokrally']",,,,unrelated,what
mbdata,18:43:45,jaques,"['rt', '@internationalnews', 'fire', 'at', 'the', 'dancing', 'dolphin', 'apartment', 'complex.', '#abila', '#intnews']",,,,chatter,fire
mbdata,18:43:56,KronosQuoth,"['you', 'can', 'do', 'anything,', 'but', 'not', 'everything.', '', '#pokrally', '#hi']",,,,unrelated,you
